t_end_iso,window_sec,tp,fp,fn,precision,recall,f1,detections,gt_anomalies
2025-10-02T22:50:40.432698+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:50:41.671679+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:42.910441+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:44.148787+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:45.407970+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:46.643046+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:47.876003+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:49.117506+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:50.355627+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:50:51.606973+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:50:52.855930+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:50:54.097194+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:50:55.364881+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:50:56.607676+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:50:57.854414+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:50:59.101704+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:00.351956+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:01.598807+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:02.836315+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:04.079498+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:05.320368+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:06.572837+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:07.830103+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:09.084046+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:10.325534+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:51:11.568736+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:51:12.827433+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:51:14.074234+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:51:15.309889+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:51:16.570440+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:51:17.814704+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:51:19.067030+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:51:20.319061+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:21.584992+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:22.839569+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:24.099996+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:25.337111+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:26.577126+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:27.844973+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:51:29.093295+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:51:30.366830+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:51:31.608815+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:51:32.869581+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:51:34.133435+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:51:35.412171+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:51:36.665543+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:51:37.915332+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:51:39.179406+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:40.427159+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:51:41.677206+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:51:42.927732+00:00,10,0,0,3,0.0000,0.0000,0.0000,0,3
2025-10-02T22:51:44.218573+00:00,10,0,0,3,0.0000,0.0000,0.0000,0,3
2025-10-02T22:51:45.483484+00:00,10,0,0,3,0.0000,0.0000,0.0000,0,3
2025-10-02T22:51:46.729255+00:00,10,0,0,3,0.0000,0.0000,0.0000,0,3
2025-10-02T22:51:47.994914+00:00,10,0,0,4,0.0000,0.0000,0.0000,0,4
2025-10-02T22:51:49.250573+00:00,10,0,0,4,0.0000,0.0000,0.0000,0,4
2025-10-02T22:51:50.513554+00:00,10,0,0,4,0.0000,0.0000,0.0000,0,4
2025-10-02T22:51:51.766558+00:00,10,0,0,3,0.0000,0.0000,0.0000,0,3
2025-10-02T22:51:53.023013+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:51:54.272082+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:51:55.521251+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:51:56.772463+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:51:58.021745+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:51:59.269887+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:00.518782+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:01.782324+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:03.021714+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:52:04.281972+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:52:05.524961+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:52:06.772814+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:52:08.017212+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:52:09.267605+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:52:10.523212+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:52:11.777261+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:52:13.028515+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:52:14.294163+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:52:15.548060+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:52:16.804117+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:52:18.055975+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:52:19.312606+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:20.583241+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:21.840297+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:23.079767+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:24.339471+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:52:25.587368+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:52:26.828152+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:28.079350+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:29.337279+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:30.599719+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:31.845942+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:33.099513+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:34.351033+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:35.595385+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:36.852284+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:38.106955+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:39.356723+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:40.609591+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:41.857794+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:43.122778+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:44.395322+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:45.664342+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:52:46.922037+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:52:48.179339+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:52:49.436928+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:52:50.703879+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:51.972021+00:00,10,1,0,3,1.0000,0.2500,0.4000,1,4
2025-10-02T22:52:53.230481+00:00,10,1,0,3,1.0000,0.2500,0.4000,1,4
2025-10-02T22:52:54.491812+00:00,10,1,0,3,1.0000,0.2500,0.4000,1,4
2025-10-02T22:52:55.750889+00:00,10,1,0,3,1.0000,0.2500,0.4000,1,4
2025-10-02T22:52:57.015418+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:52:58.282968+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:52:59.545420+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:53:00.810748+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:02.092350+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:03.353973+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:04.611291+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:05.896752+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:07.150256+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:08.417497+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:09.701399+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:10.991008+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:12.247592+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:13.507926+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:14.763152+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:53:16.017552+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:53:17.286981+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:53:18.552137+00:00,10,1,0,0,1.0000,1.0000,1.0000,1,1
2025-10-02T22:53:19.815438+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:53:21.079817+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:53:22.346499+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:53:23.620990+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:53:24.887680+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:26.136267+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:27.403944+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:28.658383+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:29.904017+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:53:31.165470+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:53:32.421905+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:53:33.698430+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:53:34.961137+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:53:36.217180+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:53:37.472500+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:38.724291+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:39.976142+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:41.232164+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:42.489854+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:53:43.753878+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:53:45.007671+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:53:46.272565+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:53:47.535034+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:48.809803+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:50.062712+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:51.310444+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:52.577617+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:53:53.847591+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:53:55.103429+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:53:56.365342+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:57.626344+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:53:58.886473+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:00.145043+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:01.405349+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:02.662768+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:03.914939+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:05.174951+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:06.428215+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:07.685220+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:08.942534+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:10.195253+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:11.448719+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:12.719914+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:13.974687+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:15.238160+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:16.684298+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:17.953277+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:19.219846+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:54:20.473860+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:54:21.738580+00:00,10,1,0,1,1.0000,0.5000,0.6667,1,2
2025-10-02T22:54:22.997534+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:54:24.260946+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:54:25.560507+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:54:26.828461+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:54:28.087830+00:00,10,1,0,2,1.0000,0.3333,0.5000,1,3
2025-10-02T22:54:29.359039+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:54:30.632669+00:00,10,0,0,2,0.0000,0.0000,0.0000,0,2
2025-10-02T22:54:31.892103+00:00,10,0,0,1,0.0000,0.0000,0.0000,0,1
2025-10-02T22:54:33.153031+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:34.421560+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:35.679469+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
2025-10-02T22:54:36.974959+00:00,10,0,0,0,0.0000,0.0000,0.0000,0,0
